#options: 624x1076 fps=25/1 timebase=1/25 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:100 out:100 type:P dur:2 cpbdur:2 q:25.40 aq:14.34 tex:4584 mv:929 misc:1351 imb:17 pmb:213 smb:2422 d:- ref:0 ;
in:101 out:101 type:P dur:2 cpbdur:2 q:25.40 aq:15.91 tex:13986 mv:3517 misc:1745 imb:53 pmb:445 smb:2154 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:25.40 aq:16.51 tex:8060 mv:2394 misc:1450 imb:34 pmb:310 smb:2308 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:25.40 aq:16.63 tex:12741 mv:3273 misc:1610 imb:39 pmb:401 smb:2212 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:25.40 aq:14.68 tex:2197 mv:593 misc:1026 imb:15 pmb:125 smb:2512 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:25.40 aq:16.75 tex:10351 mv:2870 misc:1499 imb:41 pmb:342 smb:2269 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:25.40 aq:16.61 tex:9652 mv:3148 misc:1560 imb:28 pmb:404 smb:2220 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:25.40 aq:16.76 tex:16333 mv:4976 misc:1755 imb:40 pmb:584 smb:2028 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:25.40 aq:14.86 tex:2755 mv:707 misc:1138 imb:9 pmb:155 smb:2488 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:25.40 aq:17.76 tex:11017 mv:3107 misc:1516 imb:35 pmb:351 smb:2266 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:25.40 aq:17.05 tex:8768 mv:2292 misc:1404 imb:25 pmb:296 smb:2331 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:25.40 aq:16.55 tex:22896 mv:5337 misc:2007 imb:121 pmb:545 smb:1986 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:25.40 aq:17.01 tex:10168 mv:2375 misc:1561 imb:31 pmb:323 smb:2298 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:25.40 aq:15.04 tex:2647 mv:693 misc:1052 imb:15 pmb:131 smb:2506 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:25.40 aq:16.41 tex:6467 mv:2103 misc:1286 imb:28 pmb:265 smb:2359 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:25.40 aq:17.20 tex:6045 mv:1712 misc:1227 imb:29 pmb:216 smb:2407 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:25.40 aq:18.08 tex:13963 mv:4177 misc:1636 imb:48 pmb:485 smb:2119 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:25.40 aq:15.83 tex:1911 mv:543 misc:898 imb:15 pmb:101 smb:2536 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:25.40 aq:16.83 tex:16708 mv:5640 misc:1676 imb:69 pmb:554 smb:2029 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:25.40 aq:18.42 tex:10610 mv:3178 misc:1476 imb:33 pmb:380 smb:2239 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:25.40 aq:17.96 tex:15484 mv:3785 misc:1563 imb:55 pmb:403 smb:2194 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:25.40 aq:15.72 tex:1986 mv:481 misc:909 imb:16 pmb:93 smb:2543 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:25.40 aq:17.90 tex:16810 mv:4083 misc:1643 imb:63 pmb:417 smb:2172 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:25.40 aq:18.67 tex:8583 mv:3007 misc:1482 imb:23 pmb:381 smb:2248 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:25.40 aq:17.94 tex:15588 mv:5267 misc:1641 imb:62 pmb:533 smb:2057 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:25.40 aq:17.02 tex:1713 mv:458 misc:829 imb:17 pmb:78 smb:2557 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:25.40 aq:18.12 tex:20693 mv:5602 misc:1729 imb:74 pmb:556 smb:2022 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:25.40 aq:18.75 tex:11514 mv:3766 misc:1584 imb:34 pmb:434 smb:2184 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:25.40 aq:18.85 tex:15333 mv:4360 misc:1627 imb:48 pmb:480 smb:2124 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:25.40 aq:16.77 tex:1953 mv:458 misc:901 imb:9 pmb:96 smb:2547 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:25.40 aq:18.86 tex:14425 mv:3987 misc:1636 imb:51 pmb:425 smb:2176 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:25.40 aq:13.72 tex:162954 mv:20640 misc:2790 imb:903 pmb:1512 smb:237 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:25.40 aq:15.70 tex:27072 mv:5465 misc:2255 imb:59 pmb:811 smb:1782 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:25.40 aq:14.47 tex:6012 mv:1174 misc:1446 imb:18 pmb:260 smb:2374 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:25.40 aq:15.75 tex:20239 mv:4694 misc:1843 imb:68 pmb:516 smb:2068 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:25.40 aq:14.92 tex:3317 mv:802 misc:1225 imb:15 pmb:164 smb:2473 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:25.40 aq:15.96 tex:21050 mv:5142 misc:1760 imb:57 pmb:534 smb:2061 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:25.40 aq:14.37 tex:3414 mv:864 misc:1274 imb:15 pmb:180 smb:2457 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:25.40 aq:13.50 tex:2171 mv:509 misc:1000 imb:12 pmb:113 smb:2527 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:25.40 aq:16.37 tex:18549 mv:4546 misc:1681 imb:53 pmb:488 smb:2111 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:25.40 aq:14.93 tex:2857 mv:747 misc:1140 imb:12 pmb:157 smb:2483 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:25.40 aq:16.45 tex:15042 mv:3600 misc:1598 imb:46 pmb:430 smb:2176 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:25.40 aq:16.01 tex:1900 mv:535 misc:1013 imb:9 pmb:123 smb:2520 d:- ref:0 ;
